iter	Passed	Remaining
0	59	59182
1	59	29774
2	60	19989
3	60	15083
4	60	12133
5	61	10163
6	61	8760
7	62	7708
8	62	6895
9	62	6235
10	63	5697
11	63	5249
12	64	4868
13	64	4541
14	64	4263
15	65	4018
16	65	3800
17	66	3607
18	66	3433
19	66	3280
20	67	3139
21	67	3013
22	68	2895
23	68	2790
24	68	2690
25	69	2602
26	69	2518
27	70	2440
28	70	2366
29	71	2298
30	71	2233
31	71	2176
32	72	2120
33	72	2067
34	73	2018
35	73	1971
36	74	1928
37	74	1885
38	74	1844
39	75	1805
40	75	1769
41	76	1734
42	76	1701
43	76	1669
44	77	1640
45	77	1613
46	78	1585
47	78	1558
48	79	1533
49	80	1522
50	80	1499
51	80	1476
52	81	1455
53	81	1435
54	82	1414
55	82	1394
56	83	1375
57	83	1357
58	84	1341
59	84	1325
60	84	1307
61	85	1291
62	85	1275
63	86	1261
64	86	1246
65	87	1232
66	87	1218
67	88	1211
68	88	1197
69	89	1185
70	89	1172
71	90	1160
72	90	1148
73	90	1136
74	91	1125
75	91	1115
76	92	1105
77	92	1095
78	93	1085
79	93	1075
80	93	1065
81	94	1056
82	94	1046
83	95	1037
84	95	1027
85	95	1019
86	96	1008
87	96	1000
88	96	992
89	97	984
90	97	976
91	98	969
92	98	961
93	98	954
94	99	946
95	99	939
96	100	933
97	100	926
98	100	919
99	101	912
100	101	906
101	102	898
102	102	892
103	102	886
104	103	881
105	103	875
106	104	870
107	104	865
108	105	859
109	105	855
110	106	855
111	107	850
112	107	846
113	108	840
114	108	835
115	108	830
116	109	826
117	109	821
118	110	816
119	110	811
120	110	806
121	111	801
122	111	795
123	111	790
124	112	785
125	112	781
126	113	777
127	113	771
128	113	767
129	114	763
130	114	760
131	114	756
132	115	751
133	115	748
134	116	744
135	116	741
136	117	737
137	117	733
138	117	730
139	118	726
140	118	723
141	119	719
142	119	716
143	119	712
144	120	709
145	120	706
146	121	703
147	121	699
148	121	696
149	122	693
150	122	690
151	123	687
152	123	684
153	123	681
154	124	678
155	124	675
156	125	672
157	125	670
158	126	667
159	126	664
160	126	661
161	127	659
162	127	656
163	128	653
164	128	650
165	128	647
166	129	645
167	129	642
168	130	640
169	130	638
170	131	635
171	131	633
172	131	630
173	132	627
174	132	625
175	133	623
176	133	620
177	133	618
178	134	616
179	134	613
180	134	610
181	135	608
182	135	606
183	136	603
184	136	601
185	136	599
186	137	597
187	137	594
188	138	592
189	138	590
190	138	588
191	139	586
192	139	584
193	140	582
194	140	580
195	140	578
196	141	576
197	141	574
198	142	572
199	142	570
200	143	568
201	143	566
202	143	564
203	144	563
204	144	561
205	145	561
206	146	559
207	146	558
208	147	556
209	147	554
210	147	552
211	148	550
212	148	549
213	149	547
214	149	546
215	149	544
216	150	542
217	150	540
