iter	Passed	Remaining
0	59	59907
1	60	30146
2	60	20210
3	61	15241
4	61	12269
5	62	10274
6	62	8846
7	62	7774
8	63	6939
9	63	6276
10	63	5734
11	64	5284
12	64	4899
13	64	4571
14	65	4285
15	65	4039
16	66	3821
17	66	3623
18	66	3446
19	67	3289
20	67	3151
21	67	3020
22	68	2901
23	68	2791
24	69	2691
25	69	2599
26	69	2514
27	70	2436
28	70	2362
29	70	2294
30	71	2229
31	71	2168
32	72	2111
33	72	2057
34	72	2007
35	73	1959
36	73	1915
37	73	1873
38	74	1833
39	74	1795
40	75	1758
41	75	1723
42	76	1693
43	76	1664
44	76	1633
45	77	1605
46	78	1583
47	78	1557
48	78	1532
49	79	1507
50	79	1487
51	80	1465
52	80	1443
53	81	1421
54	81	1402
55	82	1384
56	82	1366
57	83	1349
58	83	1331
59	83	1315
60	84	1298
61	84	1282
62	85	1266
63	85	1251
64	85	1236
65	86	1222
66	86	1208
67	87	1194
68	87	1181
69	87	1168
70	88	1156
71	88	1143
72	89	1132
73	89	1121
74	89	1109
75	90	1098
76	90	1087
77	91	1077
78	91	1067
79	91	1056
80	92	1047
81	92	1037
82	92	1025
83	93	1016
84	93	1006
85	93	998
86	94	989
87	94	981
88	95	973
89	95	965
90	95	956
91	96	948
92	96	941
93	96	933
94	97	926
95	97	919
96	98	913
97	98	907
98	99	901
99	99	895
100	99	888
101	100	883
102	100	877
103	101	871
104	101	865
105	101	859
106	102	854
107	102	848
108	103	842
109	103	837
110	103	832
111	104	827
112	104	822
113	105	817
114	105	811
115	105	806
116	106	801
117	106	796
118	107	792
119	107	787
120	107	782
121	108	777
122	108	772
123	108	768
124	109	764
125	109	760
126	109	755
127	110	751
128	110	747
129	111	743
130	111	739
131	111	735
132	112	731
133	112	727
134	112	723
135	113	719
136	113	716
137	114	713
138	114	710
139	114	706
140	115	703
141	115	698
142	115	695
143	116	691
144	116	688
145	117	685
146	117	681
147	117	678
148	118	675
149	118	672
150	119	669
151	119	666
152	119	663
153	120	660
154	120	657
155	120	654
156	121	651
157	121	648
158	122	645
159	122	643
160	122	639
161	123	637
162	123	634
163	123	631
164	124	629
165	124	626
166	125	624
167	125	621
168	125	618
169	126	616
170	126	614
171	127	611
172	127	609
173	127	606
174	128	604
175	128	601
176	128	599
177	129	597
178	129	594
179	130	592
180	130	590
181	130	588
182	131	586
183	131	584
184	132	582
185	132	580
186	132	577
187	133	575
188	133	573
189	134	571
190	134	569
191	134	567
192	135	565
193	135	563
194	136	561
195	136	559
196	136	557
197	137	555
198	137	553
199	137	551
200	138	549
201	138	547
202	139	546
203	139	544
204	139	542
205	140	540
206	140	538
207	140	536
208	141	534
209	141	533
210	142	531
211	142	529
212	142	528
213	143	526
214	143	524
215	144	523
216	144	521
217	144	520
218	145	518
219	145	517
220	146	515
221	146	513
222	146	512
223	147	510
224	147	508
225	148	507
226	148	505
227	148	504
228	149	502
229	149	500
230	150	499
231	150	497
232	150	496
233	151	494
234	151	493
235	151	491
236	152	490
237	152	488
238	153	487
239	153	486
240	153	484
241	154	483
242	154	482
243	155	480
244	155	479
245	155	477
246	156	476
247	156	475
248	157	473
249	157	472
250	157	470
251	158	469
252	158	468
253	158	466
254	159	465
255	159	464
256	160	463
257	160	462
258	161	460
259	161	459
260	161	458
261	162	457
262	162	456
263	163	454
264	163	453
265	163	452
266	164	450
267	164	449
268	164	448
269	165	447
270	165	445
271	166	444
272	166	443
273	166	442
274	167	441
275	167	439
276	168	438
277	168	437
278	168	436
279	169	435
280	169	434
281	170	432
282	170	431
283	170	430
284	171	429
285	171	428
286	171	426
287	172	425
288	172	424
289	172	423
290	173	422
291	173	421
292	174	420
293	174	419
294	174	418
295	175	417
296	175	416
297	176	415
298	176	414
299	177	413
300	177	412
301	177	411
302	178	410
303	178	409
304	179	407
305	179	406
306	179	405
307	180	405
308	180	404
309	181	403
310	181	402
311	181	400
312	182	400
313	182	398
314	182	397
315	183	396
316	183	395
317	184	394
318	184	393
319	184	393
320	185	392
321	185	391
322	186	390
323	186	389
324	186	388
325	187	387
326	187	386
327	188	385
328	188	384
329	188	383
330	189	382
331	189	381
332	189	380
333	190	379
334	190	378
335	191	377
336	191	376
337	191	375
338	192	374
339	192	373
340	192	372
341	193	371
342	193	370
343	194	369
344	194	369
345	194	368
346	195	367
347	195	366
348	196	365
349	196	364
350	196	364
351	197	363
352	197	362
353	198	361
354	198	360
355	198	359
356	199	358
357	199	357
358	200	357
359	200	356
360	200	355
361	201	354
362	201	353
363	201	352
364	202	351
365	202	351
366	203	350
367	203	349
368	203	348
369	204	347
370	204	347
371	205	346
372	205	345
373	205	344
374	206	343
375	206	343
376	207	342
377	207	341
378	207	340
379	208	340
380	208	339
381	209	338
382	209	337
383	209	336
384	210	335
385	210	335
386	211	334
387	211	333
388	211	332
389	212	331
390	212	331
391	212	330
392	213	329
393	213	328
394	214	327
395	214	326
396	214	326
397	215	325
398	215	324
399	216	324
400	216	323
401	216	322
402	217	321
403	217	320
404	217	320
405	218	319
406	218	318
407	218	317
408	219	316
409	219	316
410	220	315
411	220	314
412	220	313
413	221	313
414	221	312
415	222	311
416	222	310
417	222	310
418	223	309
419	223	308
420	223	307
421	224	307
422	224	306
423	225	305
424	225	305
425	225	304
426	226	303
427	226	302
428	226	301
429	227	301
430	227	300
431	228	299
432	228	299
433	228	298
434	229	297
435	229	296
436	229	296
437	230	295
438	230	294
439	230	293
440	231	293
441	231	292
442	232	291
443	232	291
444	232	290
445	233	289
446	233	289
447	234	288
448	234	287
449	234	287
450	235	286
451	235	285
452	236	285
453	236	284
454	236	283
455	237	283
456	237	282
457	238	281
458	238	281
459	238	280
460	239	279
461	239	279
462	240	278
463	240	277
464	240	277
465	241	276
466	241	275
467	242	275
468	242	274
469	242	274
470	243	273
471	243	272
472	244	272
473	244	271
474	244	270
475	245	270
476	245	269
477	246	268
478	246	268
479	246	267
480	247	266
481	247	266
482	247	265
483	248	264
484	248	264
485	249	263
486	249	262
487	249	262
488	250	261
489	250	260
490	251	260
491	251	259
492	251	258
493	252	258
494	252	257
495	252	256
496	253	256
497	253	255
498	253	254
499	254	254
500	254	253
501	255	253
502	255	252
503	255	251
504	256	251
505	256	250
506	256	249
507	257	249
508	257	248
509	258	247
510	258	247
511	258	246
512	259	246
513	259	245
514	259	244
515	260	244
516	260	243
517	260	242
518	261	242
519	261	241
520	262	240
521	262	240
522	262	239
523	263	239
524	263	238
525	264	237
526	264	237
527	264	236
528	265	236
529	265	235
530	265	234
531	266	234
532	266	233
533	267	233
534	267	232
535	267	231
536	268	231
537	268	230
538	268	229
539	269	229
540	269	228
541	269	228
542	270	227
543	270	226
544	271	226
545	271	225
546	271	225
547	272	224
548	272	223
549	273	223
550	273	222
551	273	222
552	274	221
553	274	220
554	274	220
555	275	219
556	275	219
557	276	218
558	276	218
559	276	217
560	277	216
561	277	216
562	278	215
563	278	215
564	278	214
565	279	214
566	279	213
567	280	212
568	280	212
569	280	211
570	281	211
571	281	210
572	282	210
573	282	209
574	282	209
575	283	208
576	283	208
577	284	207
578	284	206
579	284	206
580	285	205
581	285	205
582	286	204
583	286	204
584	286	203
585	287	202
586	287	202
587	287	201
588	288	201
589	288	200
590	289	200
591	289	199
592	290	199
593	290	198
594	290	197
595	291	197
596	291	196
597	291	196
598	292	195
599	292	195
600	293	194
601	293	193
602	293	193
603	294	192
604	294	192
605	294	191
606	295	191
607	295	190
608	295	190
609	296	189
610	296	188
611	297	188
612	297	187
613	297	187
614	298	186
615	298	186
616	299	185
617	299	185
618	299	184
619	300	183
620	300	183
621	300	182
622	301	182
623	301	181
624	302	181
625	302	180
626	302	180
627	303	179
628	303	179
629	304	178
630	304	178
631	304	177
632	305	176
633	305	176
634	305	175
635	306	175
636	306	174
637	307	174
638	307	173
639	307	173
640	308	172
641	308	172
642	308	171
643	309	170
644	309	170
645	310	169
646	310	169
647	310	168
648	311	168
649	311	167
650	312	167
651	312	166
652	312	166
653	313	165
654	313	165
655	314	164
656	314	164
657	314	163
658	315	163
659	315	162
